Time,ETH number of daily active addresses,Price
2017-08-31,214094,380.72720337
2017-09-01,213262,389.35375977
2017-09-02,193736,378.00906372
2017-09-03,167728,352.28427124
2017-09-04,208254,286.66098022
2017-09-05,227427,276.37460327
2017-09-06,225418,324.12860107
2017-09-07,231331,324.2862854
2017-09-08,219659,299.46481323
2017-09-09,214611,292.76257324
2017-09-10,177244,285.07400513
2017-09-11,193158,299.41687012
2017-09-12,211468,301.41531372
2017-09-13,211397,269.80636597
2017-09-14,190083,239.42408752
2017-09-15,226633,252.30776978
2017-09-16,195844,240.00071716
2017-09-17,176615,243.30102539
2017-09-18,174025,287.33227539
2017-09-19,222860,287.42733765
2017-09-20,179327,288.71542358
2017-09-21,195260,280.62838745
2017-09-22,148610,256.54910278
2017-09-23,132264,264.14486694
2017-09-24,138936,292.67782593
2017-09-25,147914,286.30929565
2017-09-26,170034,288.91235352
2017-09-27,166923,290.36685181
2017-09-28,174183,296.44760132
2017-09-29,167750,280.80111694
2017-09-30,170797,302.53952026
2017-10-01,138723,298.63897705
2017-10-02,159258,300.26690674
2017-10-03,160224,299.65270996
2017-10-04,165811,297.97106934
2017-10-05,147904,290.89224243
2017-10-06,148139,295.99227905
2017-10-07,144900,309.40618896
2017-10-08,146620,312.48898315
2017-10-09,159221,299.80682373
2017-10-10,166996,305.36425781
2017-10-11,178108,300.83166504
2017-10-12,168325,307.37060547
2017-10-13,188725,340.62664795
2017-10-14,166641,343.33285522
2017-10-15,160799,334.2616272
2017-10-16,167769,339.01843262
2017-10-17,209016,320.37731934
2017-10-18,199654,306.11712646
2017-10-19,181335,308.99649048
2017-10-20,204728,308.71972656
2017-10-21,204906,292.77175903
2017-10-22,213194,303.14559937
2017-10-23,205181,282.73440552
2017-10-24,216712,308.03277588
2017-10-25,204029,295.03320313
2017-10-26,216456,298.24172974
2017-10-27,192100,295.4984436
2017-10-28,163682,297.35501099
2017-10-29,165191,309.5668335
2017-10-30,186797,307.23062134
2017-10-31,210780,306.80569458
2017-11-01,227030,303.97839355
2017-11-02,275622,288.53674316
2017-11-03,231169,288.54013062
2017-11-04,194402,301.08969116
2017-11-05,162700,296.11221313
2017-11-06,207942,304.67962646
2017-11-07,199510,292.50341797
2017-11-08,206358,300.17822266
2017-11-09,262399,309.02648926
2017-11-10,240748,305.67684937
2017-11-11,231360,302.44009399
2017-11-12,223189,307.16217041
2017-11-13,231483,316.65597534
2017-11-14,235116,321.51168823
2017-11-15,263525,335.67129517
2017-11-16,263389,331.2515564
2017-11-17,273635,333.92260742
2017-11-18,232491,329.41586304
2017-11-19,217328,357.2210083
2017-11-20,258944,361.82946777
2017-11-21,249117,369.5612793
2017-11-22,260556,363.42944336
2017-11-23,263708,412.79376221
2017-11-24,262706,412.22106934
2017-11-25,254171,474.94006348
2017-11-26,253886,460.09057617
2017-11-27,285118,480.62976074
2017-11-28,312047,480.12127686
2017-11-29,334029,496.43261719
2017-11-30,316070,408.70800781
2017-12-01,325010,456.96066284
2017-12-02,303145,469.29055786
2017-12-03,294287,462.17077637
2017-12-04,329589,466.52502441
2017-12-05,326766,468.7321167
2017-12-06,383021,456.16897583
2017-12-07,383362,425.63070679
2017-12-08,378105,453.54656982
2017-12-09,393392,471.6619873
2017-12-10,367599,452.13876343
2017-12-11,404559,473.95916748
2017-12-12,425431,535.36328125
