Time,ETH Gas price,Price
2018-07-26,9.155464562124352E-9,475.75500488
2018-07-27,8.741409246531846E-9,464.89801025
2018-07-28,1.3470721518600656E-8,469.59500122
2018-07-29,7.278491506662631E-9,466.79699707
2018-07-30,8.843619004279674E-9,464.28100586
2018-07-31,8.6877373654912E-9,452.71704102
2018-08-01,1.7854493009949144E-8,418.51538086
2018-08-02,8.090592807642582E-9,413.97015381
2018-08-03,7.944761711260401E-9,403.26046753
2018-08-04,8.314924094169092E-9,406.00280762
2018-08-05,7.324968767902723E-9,408.90481567
2018-08-06,8.60166611872514E-9,408.21939087
2018-08-07,1.5727637567322045E-8,410.38409424
2018-08-08,6.336218811209474E-8,368.50820923
2018-08-09,5.994926998190234E-8,361.72634888
2018-08-10,4.308886609997464E-8,362.50222778
2018-08-11,1.456624030788402E-8,321.83587646
2018-08-12,9.749170056309312E-9,324.58312988
2018-08-13,1.0290731812538584E-8,321.13269043
2018-08-14,1.7644549016485563E-8,268.85174561
2018-08-15,1.3800201223257017E-8,286.58566284
2018-08-16,1.2471981044316625E-8,293.16366577
2018-08-17,4.6037633550543064E-8,298.18359375
2018-08-18,1.11235903126352E-8,312.79956055
2018-08-19,9.390023721470614E-9,300.91165161
2018-08-20,1.021509395336383E-8,289.58407593
2018-08-21,8.521738961118431E-9,277.46426392
2018-08-22,1.6830532445122385E-8,292.28509521
2018-08-23,1.644424458901953E-8,274.01196289
2018-08-24,2.602090083037687E-8,275.43688965
2018-08-25,8.522472497532062E-9,282.00238037
2018-08-26,2.2451847978270666E-8,275.39273071
2018-08-27,8.688421052827086E-9,273.97457886
2018-08-28,9.196262355708891E-9,289.15997314
2018-08-29,1.2117734989039767E-8,289.28250122
2018-08-30,1.0921562892225162E-8,280.12875366
2018-08-31,9.86270352734333E-9,278.79541016
2018-09-01,9.300600260591976E-9,295.68313599
2018-09-02,7.960847343637642E-9,292.22320557
2018-09-03,9.262951884535072E-9,289.88180542
2018-09-04,1.1064010990259714E-8,289.47851563
2018-09-05,8.63949420369525E-9,257.61624146
